,Profit/Loss
2014-02-28,14441.13243587463
2014-03-04,21258.487516823665
2014-03-18,17.203183666992118
2014-03-25,3381.046392182311
2014-03-28,3933.932941781697
2014-04-17,-36.256092094423366
2014-04-22,1592.711182362317
2014-04-30,20.2615652832028
2014-05-12,791.9876797893735
2014-05-27,-3397.6297826971036
2014-06-05,2508.464859309388
2014-06-18,-3.1581053680420155
2014-06-24,572.6353112711453
2014-07-08,1111.5482195307363
2014-07-16,1242.6407529581404
2014-07-23,1330.70026695251
2014-07-31,3266.4193454351876
2014-08-11,1854.93206951904
2014-08-13,2258.1710538726416
2014-08-18,2012.7408032127232
2014-08-20,2915.140790127201
2014-08-29,-316.5196441342933
2014-09-17,2190.721248844176
2014-10-13,-5995.903375140122
2014-10-24,8200.246552480738
2014-11-03,-125.2180509529451
2014-11-11,3473.492417528503
2014-11-19,2917.5913350974765
2014-11-24,1669.6899334004183
2014-12-02,402.47074838585394
2014-12-12,1704.4240853685644
2014-12-18,2668.2438065847286
2015-01-06,1902.4811989403756
2015-01-14,-239.30845415939285
2015-02-18,-5470.550940148904
2015-03-04,8.332500457763672
2015-03-11,1104.1766840653656
2015-03-17,1030.3551944466408
2015-03-24,503.73122050170787
2015-04-06,37.67404805755359
2015-04-17,3244.9883329239387
2015-05-01,-1202.792101491055
2015-05-15,1401.5454979745057
2015-05-28,225.00779000388826
2015-06-08,2468.1894282317653
2015-06-24,-1197.4044194156368
2015-07-09,7644.268337673611
2015-07-23,7750.387657612208
2015-07-31,998.3183093444821
2015-08-14,-1809.307475595964
2015-08-18,1339.705381816064
2015-08-24,8681.720378961181
2015-08-26,10451.567892732979
2015-09-23,-4815.918714285896
2015-10-06,-1039.6206316603607
2015-10-14,1646.2372752272565
2015-10-21,10.682158918760251
2015-10-30,-55.60438097710874
2015-11-13,1393.4386969788197
2015-11-20,1446.653388174846
2015-12-16,-3047.431979237504
2015-12-21,1271.9512642321763
2015-12-29,620.4967039695192
2016-01-04,30.014217339325114
2016-01-07,4276.582740782606
2016-01-21,-1979.0300874195063
2016-02-16,234.33663920587918
2016-02-18,2278.217640908514
2016-02-26,209.69841519749562
2016-03-10,607.3022215837971
2016-04-01,831.0919922332097
2016-04-11,964.6396204543884
2016-04-13,1990.6892396655478
2016-04-19,26.438375665282365
2016-04-25,1457.151618176354
2016-04-28,42.49078550262493
2016-05-13,-1684.2273326080553
2016-05-26,2038.643326882583
2016-06-17,791.7750189234894
2016-06-21,1448.5003422810319
2016-06-29,18.570000171661377
2016-07-08,2040.7762157247323
2016-07-12,2509.770633741693
2016-07-15,805.1791846350645
2016-07-26,2349.864516670378
2016-08-02,24.69739530334482
2016-08-26,-229.53157624074484
2016-09-06,919.5130091505649
2016-09-22,-332.51099647387025
2016-10-05,-590.9826464381281
2016-10-14,3561.2111685942764
2016-11-01,-1944.2489527508194
2016-11-10,5297.237540943913
2016-11-22,2062.79522413927
2016-12-08,2736.392791627904
2016-12-16,827.4499928036577
2017-01-05,-1226.6935801376349
2017-01-11,1624.5219433454363
2017-01-17,4201.7874699558115
2017-01-23,4399.986061683316
2017-01-30,1132.7831880021104
2017-02-01,2031.3729978150338
2017-02-09,1684.383209750661
2017-02-16,20.24193499145622
2017-03-03,184.79563664115923
2017-03-14,9.94239042053232
2017-03-20,2993.4381369955486
2017-03-29,3891.259495871099
2017-04-04,728.1297958152278
2017-04-07,5327.8980755916145
2017-04-18,1610.015709084183
2017-04-24,1446.3330007516417
2017-05-03,2558.7032280817634
2017-05-31,-5991.802021496961
2017-06-02,11.315989574432024
2017-06-21,-914.3888647347684
2017-07-05,2036.7682836758274
2017-07-18,725.0527902989298
2017-07-21,1675.7412548074633
2017-08-07,-14.11170637207033
2017-08-15,2493.8689859152014
2017-08-23,382.2848249456093
2017-08-31,2565.9822798505606
2017-09-14,8653.860518559248
2017-09-20,3525.478657314544
2017-10-05,991.0650688400274
2017-10-18,849.4263785960183
2017-10-31,5172.167817622022
2017-11-08,326.68012555743945
2017-11-15,1783.0211092738257
2017-12-05,-1530.6112103446574
2017-12-07,588.683863133166
2017-12-15,1794.245835624199
2017-12-20,1177.4793580282876
2017-12-29,3240.82887538255
2018-01-05,3023.5430284413983
2018-01-16,900.7095818356727
2018-01-30,2607.4049501387703
2018-02-05,5247.630208176781
2018-03-01,-1862.6293534091465
2018-03-13,733.0762140196978
2018-03-15,1536.8547141162342
2018-03-23,5442.626315266248
2018-04-06,-19.847604772949126
2018-04-16,5679.658425145655
2018-05-04,867.4256581769971
2018-05-15,12.291491693118587
2018-05-24,2892.093697084086
2018-06-01,1007.5899401979397
2018-06-08,608.394199165412
2018-06-15,-216.13392084521502
2018-06-21,4418.917958447861
2018-07-02,47.031629370118026
2018-07-09,15.895032863616507
2018-07-19,437.8437390936191
2018-07-24,13.427373521422851
2018-07-27,1268.0193316181856
2018-08-06,2511.7168468478408
2018-08-13,146.24749912338302
2018-08-21,16.086570948027656
2018-08-31,-1598.3878592553062
2018-09-06,2986.0342295180603
2018-09-18,23727.96620172256
2018-09-21,12312.602368368409
2018-10-10,5073.399021111941
2018-10-22,-1861.7267923367046
2018-10-30,46.09076387328969
2018-11-15,-5717.825201496002
2018-11-26,1358.0833982492381
2018-12-19,4028.006410857479
2019-01-03,10.338883908843854
2019-01-17,14988.600590555447
2019-01-31,-14276.488701536888
2019-02-12,-563.241507610745
2019-02-25,-923.1720164692273
2019-03-08,2930.313587757024
2019-03-21,796.969425794733
2019-03-28,1033.1357417779607
2019-04-11,-2290.8978525836505
