,Date,Action,Type,HMC_Shares,HYMTF_Shares,HMC_Price,HYMTF_Price
235,2017-07-18,Close Position,lower,1807.664507441349,1064.2826838482322,27.65999984741211,46.97999954223633
236,2017-07-19,Open Position,upper,1803.1013640603787,1064.2826838482322,27.729999542236328,46.97999954223633
237,2017-07-21,Close Position,upper,1816.8604348948872,1101.3215488880326,27.520000457763672,45.400001525878906
238,2017-07-27,Open Position,lower,1807.0111984870252,1101.3215488880326,27.670000076293945,45.400001525878906
239,2017-08-07,Close Position,lower,1774.3080006573516,1101.3215488880326,28.18000030517578,45.400001525878906
240,2017-08-09,Open Position,upper,1794.0437206450877,1101.3215488880326,27.8700008392334,45.400001525878906
241,2017-08-15,Close Position,upper,1808.318288962701,1159.2858511882478,27.649999618530273,43.130001068115234
242,2017-08-16,Open Position,lower,1803.7518484321106,1159.2858511882478,27.719999313354492,43.130001068115234
243,2017-08-23,Close Position,lower,1803.1013640603787,1150.4832271812897,27.729999542236328,43.459999084472656
244,2017-08-24,Open Position,upper,1800.504111479821,1136.3636363636363,27.770000457763672,44.0
245,2017-08-31,Close Position,upper,1779.359406449404,1197.6047904191616,28.100000381469727,41.75
246,2017-09-01,Open Position,lower,1772.4211847819943,1197.6047904191616,28.209999084472656,41.75
247,2017-09-14,Close Position,lower,1710.5713576133228,1020.4081632653061,29.229999542236328,49.0
248,2017-09-15,Open Position,lower,1704.1581370131596,1289.9897359443999,29.34000015258789,38.7599983215332
249,2017-09-20,Close Position,lower,1686.3406625054945,1204.8192771084337,29.649999618530273,41.5
250,2017-10-02,Open Position,lower,1678.9791419454841,1250.0,29.780000686645508,40.0
251,2017-10-05,Close Position,lower,1662.2340467692286,1225.4902189944812,30.079999923706055,40.79999923706055
252,2017-10-13,Open Position,upper,1652.3463192930583,1204.8192771084337,30.260000228881836,41.5
253,2017-10-18,Close Position,upper,1641.4970946433182,1225.4902189944812,30.459999084472656,40.79999923706055
254,2017-10-24,Open Position,lower,1626.545230067881,1219.5121951219512,30.739999771118164,41.0
255,2017-10-31,Close Position,lower,1608.2341510004162,1104.9723756906078,31.09000015258789,45.25
256,2017-11-01,Open Position,upper,1568.8735074787874,1081.081081081081,31.8700008392334,46.25
257,2017-11-08,Close Position,upper,1486.3258295832727,1086.9565217391305,33.63999938964844,46.0
258,2017-11-13,Open Position,upper,1523.9255686439105,1086.9565217391305,32.810001373291016,46.0
259,2017-11-15,Close Position,upper,1554.726375535834,1127.6499735664022,32.15999984741211,44.34000015258789
260,2017-11-16,Open Position,lower,1533.7424030768461,1127.6499735664022,32.599998474121094,44.34000015258789
261,2017-12-05,Close Position,lower,1506.0240617769525,1162.7906976744187,33.20000076293945,43.0
262,2017-12-06,Open Position,upper,1509.2061089041342,1162.7906976744187,33.130001068115234,43.0
263,2017-12-07,Close Position,upper,1499.2504434085345,1176.4705882352941,33.349998474121094,42.5
264,2017-12-08,Open Position,lower,1501.9524969937345,1204.8192771084337,33.290000915527344,41.5
265,2017-12-15,Close Position,lower,1484.5605566195984,1162.7906976744187,33.68000030517578,43.0
266,2017-12-18,Open Position,upper,1469.2918540572775,1162.7906976744187,34.029998779296875,43.0
267,2017-12-20,Close Position,upper,1465.416224068974,1190.7596570933424,34.119998931884766,41.9900016784668
268,2017-12-21,Open Position,lower,1462.8437552245616,1199.0407454485494,34.18000030517578,41.70000076293945
269,2017-12-29,Close Position,lower,1467.1360714082634,1126.126087424954,34.08000183105469,44.400001525878906
270,2018-01-02,Open Position,upper,1450.1160285327853,1126.126087424954,34.47999954223633,44.400001525878906
271,2018-01-05,Close Position,upper,1403.7058253598982,1197.6047904191616,35.619998931884766,41.75
272,2018-01-08,Open Position,lower,1396.648074456925,1197.6047904191616,35.79999923706055,41.75
273,2018-01-16,Close Position,lower,1399.3842888493505,1176.4705882352941,35.72999954223633,42.5
274,2018-01-17,Open Position,upper,1376.2729832086127,1141.5525312998964,36.33000183105469,43.79999923706055
275,2018-01-30,Close Position,upper,1395.478577862194,1204.8192771084337,35.83000183105469,41.5
276,2018-01-31,Open Position,upper,1416.8319269722763,1052.6315789473683,35.290000915527344,47.5
277,2018-02-05,Close Position,upper,1434.7202923732978,1176.4705882352941,34.849998474121094,42.5
278,2018-02-06,Open Position,lower,1382.743368666756,1187.6484991023228,36.15999984741211,42.099998474121094
279,2018-03-01,Close Position,lower,1423.6902483105137,1234.567901234568,35.119998931884766,40.5
280,2018-03-02,Open Position,upper,1435.543995734724,1234.567901234568,34.83000183105469,40.5
281,2018-03-13,Close Position,upper,1444.6691452829798,1253.1327841571708,34.61000061035156,39.900001525878906
282,2018-03-14,Open Position,lower,1445.0867689314282,1253.1327841571708,34.599998474121094,39.900001525878906
283,2018-03-15,Close Position,lower,1439.677531213132,1215.657639230186,34.72999954223633,41.130001068115234
284,2018-03-16,Open Position,upper,1438.4350521969354,1215.657639230186,34.7599983215332,41.130001068115234
285,2018-03-23,Close Position,upper,1519.295054142389,1366.120275533719,32.90999984741211,36.599998474121094
286,2018-03-26,Open Position,lower,1486.3258295832727,1366.120275533719,33.63999938964844,36.599998474121094
287,2018-04-06,Close Position,lower,1460.7070017136605,1366.120275533719,34.22999954223633,36.599998474121094
288,2018-04-10,Open Position,lower,1413.6274105150403,1366.120275533719,35.369998931884766,36.599998474121094
289,2018-04-16,Close Position,lower,1425.3134945887414,1226.993865030675,35.08000183105469,40.75
290,2018-04-17,Open Position,upper,1429.3882405466554,1226.993865030675,34.97999954223633,40.75
291,2018-05-04,Close Position,upper,1493.8750575566792,1250.0,33.470001220703125,40.0
292,2018-05-07,Open Position,lower,1505.1173438500468,1250.0,33.220001220703125,40.0
293,2018-05-15,Close Position,lower,1522.070085920689,1250.0,32.849998474121094,40.0
294,2018-05-16,Open Position,upper,1508.2955565165498,1144.1647397499216,33.150001525878906,43.70000076293945
295,2018-05-24,Close Position,upper,1544.1630126823954,1215.066783619811,32.380001068115234,41.150001525878906
296,2018-05-25,Open Position,lower,1560.5492687663693,1227.5963801116873,32.040000915527344,40.72999954223633
297,2018-06-01,Close Position,lower,1562.011953195414,1203.3694565125882,32.0099983215332,41.54999923706055
298,2018-06-05,Open Position,upper,1564.9451895474672,1203.3694565125882,31.950000762939453,41.54999923706055
299,2018-06-08,Close Position,upper,1554.726375535834,1218.0268192273013,32.15999984741211,41.04999923706055
300,2018-06-11,Open Position,lower,1530.4561616880603,1219.5121951219512,32.66999816894531,41.0
301,2018-06-15,Close Position,lower,1571.3387957113307,1225.4902189944812,31.81999969482422,40.79999923706055
302,2018-06-18,Open Position,upper,1578.7811771249937,1219.5121951219512,31.670000076293945,41.0
303,2018-06-21,Close Position,upper,1631.3213906133678,1338.6881403661578,30.649999618530273,37.349998474121094
304,2018-06-22,Open Position,lower,1637.1970694532192,1338.6881403661578,30.540000915527344,37.349998474121094
305,2018-07-02,Close Position,lower,1724.1379310344828,1338.6881403661578,29.0,37.349998474121094
306,2018-07-03,Open Position,upper,1730.1038290651293,1338.6881403661578,28.899999618530273,37.349998474121094
307,2018-07-09,Close Position,upper,1697.7928252864813,1338.6881403661578,29.450000762939453,37.349998474121094
308,2018-07-10,Open Position,lower,1688.6186750877728,1436.781640694753,29.610000610351562,34.79999923706055
309,2018-07-19,Close Position,lower,1701.8380336364642,1424.5014864278282,29.3799991607666,35.099998474121094
310,2018-07-20,Open Position,upper,1712.915350640785,1424.5014864278282,29.190000534057617,35.099998474121094
311,2018-07-24,Close Position,upper,1686.3406625054945,1424.5014864278282,29.649999618530273,35.099998474121094
312,2018-07-25,Open Position,lower,1674.4808766904882,1424.5014864278282,29.860000610351562,35.099998474121094
313,2018-07-27,Close Position,lower,1648.5328099496562,1388.888888888889,30.329999923706055,36.0
314,2018-07-31,Open Position,upper,1630.7893101382485,1356.4839710273436,30.65999984741211,36.86000061035156
315,2018-08-06,Close Position,upper,1650.7097553228816,1428.5714285714287,30.290000915527344,35.0
316,2018-08-07,Open Position,lower,1627.074544250427,1428.5714285714287,30.729999542236328,35.0
317,2018-08-13,Close Position,lower,1684.0686797106869,1425.3134945887414,29.690000534057617,35.08000183105469
318,2018-08-16,Open Position,upper,1678.4155241142898,1406.8654674163251,29.790000915527344,35.540000915527344
319,2018-08-21,Close Position,upper,1648.5328099496562,1406.8654674163251,30.329999923706055,35.540000915527344
320,2018-08-22,Open Position,lower,1640.4199721431978,1412.4293176498277,30.479999542236328,35.400001525878906
321,2018-08-31,Close Position,lower,1687.4789543094396,1459.85401459854,29.6299991607666,34.25
322,2018-09-04,Open Position,upper,1725.3278395373502,1459.85401459854,28.979999542236328,34.25
323,2018-09-06,Close Position,upper,1739.1304347826087,1552.7949942643304,28.75,32.20000076293945
324,2018-09-07,Open Position,lower,1745.2007213173208,1552.7949942643304,28.649999618530273,32.20000076293945
325,2018-09-18,Close Position,lower,1684.0686797106869,1052.6315789473683,29.690000534057617,47.5
326,2018-09-19,Open Position,upper,1651.25491632012,1052.6315789473683,30.280000686645508,47.5
327,2018-09-21,Close Position,upper,1619.6954532133943,1395.868241931468,30.8700008392334,35.81999969482422
328,2018-10-02,Open Position,upper,1641.4970946433182,1392.757600969932,30.459999084472656,35.900001525878906
329,2018-10-10,Close Position,upper,1795.9770016507061,1552.7949942643304,27.84000015258789,32.20000076293945
330,2018-10-11,Open Position,lower,1842.299230819831,1552.7949942643304,27.139999389648438,32.20000076293945
331,2018-10-22,Close Position,lower,1846.3810982595162,1612.9032258064517,27.079999923706055,31.0
332,2018-10-24,Open Position,upper,1920.122820356185,1612.9032258064517,26.040000915527344,31.0
333,2018-10-30,Close Position,upper,1797.9144538004282,1612.9032258064517,27.809999465942383,31.0
334,2018-10-31,Open Position,lower,1754.3859649122808,1612.9032258064517,28.5,31.0
335,2018-11-15,Close Position,lower,1771.793097682274,1821.4935741461088,28.219999313354492,27.450000762939453
336,2018-11-19,Open Position,upper,1782.5312427794443,1801.8018018018017,28.049999237060547,27.75
337,2018-11-26,Close Position,upper,1767.4089212403253,1851.851851851852,28.290000915527344,27.0
338,2018-11-29,Open Position,upper,1797.2681721237498,1819.5051249237026,27.81999969482422,27.479999542236328
339,2018-12-19,Close Position,upper,1868.460372658571,1980.1980198019803,26.760000228881836,25.25
340,2018-12-20,Open Position,lower,1886.080707970969,1980.1980198019803,26.510000228881836,25.25
341,2019-01-03,Close Position,lower,1914.2418986793364,1980.1980198019803,26.1200008392334,25.25
342,2019-01-04,Open Position,lower,1830.8312331662162,1980.1980198019803,27.309999465942383,25.25
343,2019-01-17,Close Position,lower,1692.6201235734595,1522.070085920689,29.540000915527344,32.849998474121094
344,2019-01-18,Open Position,upper,1680.1075139601448,1428.5714285714287,29.760000228881836,35.0
345,2019-01-31,Close Position,upper,1662.7868476036672,1111.111111111111,30.06999969482422,45.0
